"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","selling fees","fba fees","other transaction fees","other","total"
"Jan. 5, 2021 2:09:50 p.m. PST","13701774921","Order","702-2349858-9719400","SADDL-2044-UV","SADDLER Womens Leather Multi Section Credit Card Clutch Purse Wallet| Gift Boxed - Purple","1","amazon.ca","Amazon","Upper Tantallon","Nova Scotia","B3Z 1L3","","49.99","7.50","0","0","0","0","0","0","-7.50","-5.85","-0.22","0","43.92"
"Jan. 5, 2021 3:28:58 p.m. PST","13701774921","Refund","702-4092077-2004267","SPBR-2518-02","SWISS REIMAGINED Spring Bar Pins - Made from Stainless Steel - for Attaching Watch Band to Watches or Buckle (Set of Two) - 25mm X 1.8mm","1","amazon.ca","Amazon","Oakville","Ontario","L6J 2G6","","-6.99","-0.91","0","0","0","0","0","0","1.12","0","0","0","-6.78"
"Jan. 5, 2021 6:41:16 p.m. PST","13701774921","Adjustment","","","Other","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.01","0.01"
"Jan. 5, 2021 9:16:50 p.m. PST","13701774921","Refund","701-9635324-4538646","SADDL-2070-JB","SADDLER Womens Leather Credit Card Wallet Purse With Zip Coin Pocket |Gift Boxed - Green","1","amazon.ca","Amazon","windsor","Ontario","N9G 2H4","","-29.99","-3.90","-2.74","0","0","0","2.74","0","3.60","0","0","0","-30.29"
"Jan. 5, 2021 9:55:27 p.m. PST","13701774921","Order","702-2042307-3597032","SPBR-FR-2218-02","SWISS REIMAGINED Quick Release Spring Bar with Cylindrical Push Button for Watch Band (Set of Two) - 22mm x 1.8mm","1","amazon.ca","Amazon","Kitchener","Ontario","N2B 1T2","","9.99","1.30","0.03","0","0","0","-0.03","0","-2.00","-3.81","-0.04","0","5.44"
"Jan. 5, 2021 11:11:37 p.m. PST","13701774921","Refund","702-8412495-2351454","SADDL-2064-RED","SADDLER Womens Leather Trifold Purse Wallet Clutch with Zip Coin Pocket |Gift Boxed - Red","1","amazon.ca","Amazon","Montreal","Quebec","H2L 4G4","","-36.99","-1.85","0","0","0","0","0","0","4.44","0","0","0","-34.40"
"Jan. 6, 2021 2:32:12 p.m. PST","13701774921","Refund","702-8645011-5896209","SADDL-2044-TEAL","SADDLER Womens Leather Multi Section Credit Card Clutch Purse Wallet| Gift Boxed - Teal","1","amazon.ca","Amazon","London","Ontario","N6J 4Y8","","-49.99","-6.50","0","0","0","0","0","0","6.00","0","0","0","-50.49"
"Jan. 7, 2021 1:15:18 a.m. PST","13701774921","Order","701-3257266-9765005","SADDL-2051-EBLU","SADDLER Womens Leather Trifold Wallet Clutch with Zipper Coin Purse | Gift Boxed - Blue","1","amazon.ca","Amazon","OTTAWA","ON","K1Z 7L0","","36.99","4.81","0","0","0","0","0","0","-5.55","-6.15","-0.14","0","29.96"
"Jan. 7, 2021 1:39:41 a.m. PST","13701774921","FBA Inventory Fee","xkcp4QV342","","FBA Removal Order: Disposal Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","-2.16","-2.16"
"Jan. 7, 2021 1:41:40 a.m. PST","13701774921","Order","701-1880868-9042634","SPBR-CUR-2115-02","SWISS REIMAGINED Spring Bar Pins - Curved Stainless Steel - for Attaching Watch Band to Watches (Set of Two) - 21mm X 1.5mm","1","amazon.ca","Amazon","Calgary","Alberta","T3H 2V9","","7.99","0.40","0","0","0","0","0","0","-1.60","-3.81","-0.01","0","2.97"
"Jan. 7, 2021 4:16:50 a.m. PST","13701774921","FBA Inventory Fee","","","FBA Inventory Storage Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","-18.27","-18.27"
"Jan. 7, 2021 7:25:51 a.m. PST","13701774921","Refund","701-8080509-7969868","AOCC-CW-001-METRED","ANYONECANCOOK 12-Piece Non-Stick Aluminum Pots and Pans Cookware Set (Red)","1","amazon.ca","Amazon","Mirabel","Quebec","J7J 2J4","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jan. 7, 2021 7:26:57 a.m. PST","13701774921","Order","702-6955372-5316235","SR-T2-22-COG-BSS","SWISS REIMAGINED Real Italian Leather Rally Style Watch Band Strap with Stainless Steel Buckle, Cognac","1","amazon.ca","Amazon","Calgary","Alberta","T2Z4E2","","29.99","0","0","0","0","0","0","0","-4.80","-6.97","0","0","18.22"
"Jan. 7, 2021 10:17:07 a.m. PST","13701774921","Order","701-4941091-5923442","SR-7005-BLK","SWISS REIMAGINED Mens Genuine Leather RFID Protected Business & Credit Card Holder with ID | Gift Boxed","1","amazon.ca","Amazon","Kleinberg","Ontario","L4H3Y5","","24.99","0","0","0","0","0","0","0","-3.75","-8.38","0","0","12.86"
"Jan. 7, 2021 11:01:08 a.m. PST","13701774921","Refund","702-3277989-9075422","AOCC-CW-001-METRED","ANYONECANCOOK 12-Piece Non-Stick Aluminum Pots and Pans Cookware Set (Red)","1","amazon.ca","Amazon","London","Ontario","N6A 3M2","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jan. 7, 2021 3:22:24 p.m. PST","13701774921","Refund","702-0389060-9533013","AOCC-CW-001-METRED","ANYONECANCOOK 12-Piece Non-Stick Aluminum Pots and Pans Cookware Set (Red)","1","amazon.ca","Amazon","Omemee","Ontario","K0L 2W0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jan. 7, 2021 5:51:32 p.m. PST","13701774921","Order","701-0614831-2863429","SADDL-2201DD-BLK","SADDLER Womens Real Leather Multi Credit Card Purse Wallet with Zip Coin Pocket - Black","1","amazon.ca","Amazon","Val Caron","ON","P3N1C1","","16.99","2.21","0","0","0","0","0","0","-2.55","-6.15","-0.06","0","10.44"
"Jan. 8, 2021 3:15:46 a.m. PST","13701774921","Order","701-1270389-9061848","SADDL-2147-FUCH","SADDLER Womens Large Leather Credit Card Wallet | Ladies Clutch Purse|Gift Boxed - Fuchsia","1","amazon.ca","Amazon","Sherwood Park","Alberta","T8H 0L7","","42.99","2.15","1.99","0","0","0","-1.99","0","-6.45","-5.85","-0.06","0","32.78"
"Jan. 8, 2021 9:48:12 a.m. PST","13701774921","Order","701-1262542-4610630","SPBR-CUR-2118-02","SWISS REIMAGINED Spring Bar Pins - Curved Stainless Steel - for Attaching Watch Band to Watches (Set of Two) - 21mm X 1.8mm","1","amazon.ca","Amazon","Mississauga","Ontario","L5K 2S6","","7.99","1.04","0","0","0","0","0","0","-1.28","-3.81","-0.03","0","3.91"
"Jan. 8, 2021 1:05:18 p.m. PST","13701774921","Refund","702-4148344-7555459","CA-6005-COG","CAPPIANO Mens Genuine Leather Minimalist Credit Card Holder Wallet | Slim Business Card Case with 8 Slots | Gift Boxed - Cognac","1","amazon.ca","Amazon","Toronto","Ontario","M4J3S4","","-19.99","-2.60","0","0","0","0","0","0","2.40","0","0","0","-20.19"
"Jan. 8, 2021 2:07:54 p.m. PST","13701774921","Order","702-1315238-6350604","SPBR-2115-02","SWISS REIMAGINED Spring Bar Pins - Made from Stainless Steel - for Attaching Watch Band to Watches or Buckle (Set of Two) - 21mm X 1.5mm","1","amazon.ca","Amazon","Ottawa","Ontario","K1C 3R4","","6.99","0.91","0","0","0","0","0","0","-1.12","-3.81","-0.03","0","2.94"
"Jan. 8, 2021 5:29:13 p.m. PST","13701774921","Refund","701-1176439-2597856","SADDL-2201DD-BLK","SADDLER Womens Real Leather Multi Credit Card Purse Wallet with Zip Coin Pocket - Black","1","amazon.ca","Amazon","Ponteix","Saskatchewan","S0N 1Z0","","-16.99","-0.85","0","0","0","0","0","0","2.04","0","0","0","-15.80"
"Jan. 8, 2021 11:03:03 p.m. PST","13701774921","Order","701-9722252-3517024","CA-6002-COG","CAPPIANO Mens Genuine Leather 6 Credit Card Minimalist Billfold Wallet| Slim Designer Credit Card Holder|Gift Boxed - Cognac","1","amazon.ca","Amazon","Toronto","Ontario","M4J3S4","","16.99","2.21","2.98","0","0","0","-2.98","0","-2.55","-6.15","-0.06","0","10.44"
"Jan. 9, 2021 12:49:37 p.m. PST","13701774921","Refund","701-7833479-2359456","SR-NCALF-22-TAN-SS","SWISS REIMAGINED Watch Band Tan Calf Leather Contrast Stitching Stainless Steel Buckle 22mm","1","amazon.ca","Amazon","Chatham","Ontario","N7L 4N2","","-22.99","-2.99","0","0","0","0","0","0","2.94","0","0","0","-23.04"
"Jan. 9, 2021 10:16:43 p.m. PST","13701774921","Order","701-9659762-7189857","SPBR-CO-2218-02-GLD","SWISS REIMAGINED Spring Bar Pins - Gold Stainless Steel - for Attaching Watch Band to Watches or Buckle (Set of Two) - 22mm X 1.8mm","1","amazon.ca","Amazon","Toronto","Ontario","M6S 3N7","","7.99","1.04","2.94","0","0","0","-2.94","0","-1.60","-3.81","-0.03","0","3.59"
"Jan. 9, 2021 11:14:38 p.m. PST","13701774921","Order","702-4196170-0301869","SADDL-2053-MAG","SADDLER Womens Luxurious Real Leather Trifold Wallet Purse Clutch | Gift Boxed - Magenta","1","amazon.ca","Amazon","Blackstock","Ontario","L0B 1B0","","39.99","0","0","0","0","0","0","0","-6.00","-8.38","0","0","25.61"
"Jan. 10, 2021 12:32:28 a.m. PST","13701774921","Order","702-4393574-8492218","SADDL-2204DD-SBLU","SADDLER Womens Large Leather Trifold Credit Card Coin Purse Wallet |Gift Boxed - Storm Blue","1","amazon.ca","Amazon","Stony plain","AB","T7Z0J7","","24.99","1.25","0","0","0","0","0","0","-3.75","-5.71","-0.04","0","16.74"
"Jan. 10, 2021 8:23:21 a.m. PST","13701774921","Order","702-7364055-5789869","SADDL-2053-EBLU","SADDLER Womens Luxurious Real Leather Trifold Wallet Purse Clutch | Gift Boxed - Blue","1","amazon.ca","Amazon","Paradise","Newfoundland","A1L 1H1","","39.99","6.00","5.90","0","0","0","-5.90","0","-6.00","-6.29","-0.17","0","33.53"
"Jan. 10, 2021 11:58:41 a.m. PST","13701774921","Order","702-7996605-8697844","SADDL-2034-UV","SADDLER Womens Real Leather Slim Credit Card Holder | Minimalist | Gift Boxed - Purple","1","amazon.ca","Amazon","Maple Ridge","British Columbia","V4R 1W9","","22.99","2.76","0","0","0","0","0","0","-3.45","-6.15","-0.08","0","16.07"
"Jan. 10, 2021 11:58:41 a.m. PST","13701774921","Order","702-7996605-8697844","SADDL-2054-TEAL","SADDLER Womens Genuine Leather Wallet Zipper Purse Coin Pocket | Credit Card Slot - Teal","1","amazon.ca","Amazon","Maple Ridge","British Columbia","V4R 1W9","","26.99","3.24","0","0","0","0","0","0","-4.05","-6.15","-0.09","0","19.94"
"Jan. 10, 2021 12:28:18 p.m. PST","13701774921","Order","701-0163370-0508204","SADDL-2503-BLK","SADDLER Mens Genuine Leather Compact Shirt Pocket Credit Card Wallet with ID Window | Gift Boxed","1","amazon.ca","Amazon","Trois-Rivieres","Quebec","G8Y 6T2","","19.99","1.00","3.93","0","0","0","-3.93","0","-3.00","-6.15","-0.03","0","11.81"
"Jan. 10, 2021 12:39:06 p.m. PST","13701774921","Order","701-0714521-1641814","SADDL-2202DD-BLK","SADDLER Womens Leather Trifold Multi Credit Card Wallet |Ladies Coin Purse Clutch - Black","1","amazon.ca","Amazon","Edmonton","Alberta","T6A 0X7","","19.99","0","0","0","0","0","0","0","-3.00","-8.38","0","0","8.61"
"Jan. 10, 2021 3:26:23 p.m. PST","13701774921","Order","702-3869989-2167442","SPBR-FR-2018-02","SWISS REIMAGINED Quick Release Spring Bar with Cylindrical Push Button for Watch Band (Set of Two) - 20mm x 1.8mm","1","amazon.ca","Amazon","Waskatenau","Alberta","T0A 3P0","","9.99","0.50","0","0","0","0","0","0","-4.00","-3.81","-0.03","0","2.65"
"Jan. 10, 2021 3:26:23 p.m. PST","13701774921","Order","702-3869989-2167442","SPBR-FR-2018-02","SWISS REIMAGINED Quick Release Spring Bar with Cylindrical Push Button for Watch Band (Set of Two) - 20mm x 1.8mm","1","amazon.ca","Amazon","Waskatenau","Alberta","T0A 3P0","","9.99","0.50","0","0","0","0","0","0","0","-3.81","0","0","6.68"
